TOA5	ESOLMET-CR1000	23644	CR1000.Std.16	CPU:2021-05-21-ESOLMET-CR1000.CR1	25840	Tabla_diez_min													
TIMESTAMP	RECORD	I_glo_Avg	I_dir_Avg	I_dif_Avg	AirTC_Avg	AirTC_Max	AirTC_Min	AirTC_Std	RH_Avg	RH_Max	RH_Min	RH_Std	WS_ms_Avg	WS_ms_Max	WS_ms_Min	WS_ms_Std	WindDir	CS106_PB_Avg	Rain_mm_Tot
TS	RN	W/m2	W/m2	W/m2	°C	°C	°C	°C	%	%	%	%	m/s	m/s	m/s	m/s	grados	mbar	mm
		Avg	Avg	Avg	Avg	Max	Min	Std	Avg	Max	Min	Std	Avg	Max	Min	Std	Smp	Avg	Tot
13/03/2022 15:50	42652	672.2	825	86.1	30.23	30.96	29.6	0.451	27.6	28.44	26.61	0.516	1.243	3.2	0	0.907	73.62	875.2519	0
13/03/2022 16:00	42653	634.5	806	85.7	30.85	31.47	30.24	0.371	27.06	28.24	25.62	0.706	1.509	3.95	0	0.877	114.9	875.121	0
13/03/2022 16:10	42654	596.9	783.9	85.3	30.71	31.1	30.45	0.129	26.91	27.63	26.3	0.287	2.131	4.7	0.95	0.75	88.5	875.0557	0
13/03/2022 16:20	42655	561.2	769.3	84.2	30.06	30.69	29.7	0.229	27.62	28.21	26.71	0.337	1.996	3.95	0	0.821	118.7	874.4984	0
13/03/2022 16:30	42656	523.4	750.5	82.5	30.22	30.52	29.87	0.14	27.28	27.83	26.78	0.197	1.84	3.95	0	0.885	14	874.4041	0
13/03/2022 16:40	42657	476.2	722.8	78.7	30.61	30.99	30.14	0.194	27.05	27.76	26.3	0.301	1.511	4.7	0	0.918	68.74	874.9354	0
13/03/2022 16:50	42658	435.1	700	76.07	31.24	31.67	30.69	0.308	26.04	27.35	25.14	0.648	1.528	3.95	0	0.794	254.4	874.7205	0
13/03/2022 17:00	42659	392.9	672.9	72.6	31.14	31.57	30.72	0.21	26.02	26.61	25.48	0.225	1.223	3.95	0	0.863	122.4	874.7973	0
13/03/2022 17:10	42660	351.4	641.7	69.16	30.95	31.27	30.62	0.166	26.43	27.22	25.72	0.382	1.901	5.45	0	1.062	221.3	874.5401	0
13/03/2022 17:20	42661	308.9	608.3	65.67	31.25	31.57	30.99	0.123	25.8	26.4	25.17	0.27	1.639	4.7	0	0.878	128.3	874.5446	0
13/03/2022 17:30	42662	262.9	561.6	60.85	31.2	31.47	30.96	0.101	25.93	26.44	25.24	0.229	1.72	4.7	0	1.075	129.6	874.754	0
13/03/2022 17:40	42663	218	503.9	56.03	30.89	31.1	30.69	0.069	25.91	26.57	25.45	0.221	1.717	3.95	0	0.773	104.4	874.7903	0
13/03/2022 17:50	42664	175.1	443.1	50.79	30.91	31.3	30.65	0.158	25.59	26.4	24.56	0.468	1.271	3.2	0	0.97	173.6	874.7233	0
13/03/2022 18:00	42665	138	383	45.31	30.84	31.27	30.52	0.204	25.61	26.27	24.63	0.426	2.205	4.7	0	0.906	145.1	875.0291	0
13/03/2022 18:10	42666	101.4	308.9	38.7	30.52	30.79	30.18	0.161	26.37	27.01	25.79	0.271	2.083	3.95	0	0.973	163.5	874.8749	0
13/03/2022 18:20	42667	67.81	225.8	30.6	30.06	30.35	29.67	0.198	27.07	27.83	26.33	0.26	2.228	4.7	0	0.944	172	874.6589	0
13/03/2022 18:30	42668	36.74	112.4	20.92	29.53	29.84	29.22	0.157	28.05	28.65	27.49	0.256	1.953	3.95	0	0.699	106.6	874.8607	0
13/03/2022 18:40	42669	13.24	5.232	10.07	29.15	29.36	28.92	0.091	28.64	29.03	28.14	0.179	1.024	2.45	0	0.616	97.9	875.0783	0
13/03/2022 18:50	42670	2.893	0.007	1.842	28.78	29.02	28.48	0.118	29.17	29.64	28.65	0.214	1.043	2.45	0	0.562	130.6	874.9691	0
13/03/2022 19:00	42671	0	0.008	0	28.42	28.65	28.24	0.082	29.55	29.81	29.2	0.121	0.63	1.7	0	0.535	134	875.34	0
13/03/2022 19:10	42672	0	0.005	0	28.19	28.37	27.93	0.088	30.05	30.56	29.57	0.224	0.01	0.95	0	0.095	105.6	875.6357	0
13/03/2022 19:20	42673	0	0.006	0	27.92	28.1	27.77	0.058	30.54	31.07	30.29	0.149	0	0	0	0	13.69	875.4946	0
13/03/2022 19:30	42674	0	0.012	0	27.69	27.94	27.42	0.113	31.82	32.91	30.8	0.583	0.637	1.7	0	0.463	1.572	875.5624	0
13/03/2022 19:40	42675	0	0.014	0	27.35	27.56	27.12	0.092	32.58	33.22	31.86	0.329	0.642	1.7	0	0.472	352.8	875.5627	0
13/03/2022 19:50	42676	0	0.015	0	26.84	27.26	26.37	0.22	33.59	35.03	32.61	0.582	1.447	2.45	0	0.475	346.8	875.6298	0
13/03/2022 20:00	42677	0	0.018	0	26.2	26.48	25.83	0.15	34.28	35.33	33.22	0.47	2.466	3.2	1.7	0.414	342.2	875.928	0
13/03/2022 20:10	42678	0	0.009	0	25.67	25.97	25.42	0.117	35.52	36.26	34.82	0.328	2.548	3.2	1.7	0.357	337	875.8894	0
13/03/2022 20:20	42679	0	0.005	0	25.25	25.59	24.88	0.161	36.46	37.31	35.64	0.398	2.831	3.95	1.7	0.437	348.1	875.9606	0
13/03/2022 20:30	42680	0	0.009	0	25	25.15	24.88	0.042	36.71	37.21	36.08	0.267	2.433	3.2	0.95	0.45	341.6	876.3868	0
13/03/2022 20:40	42681	0	0.006	0	24.72	25.12	24.4	0.168	37.06	37.82	36.08	0.396	2.146	3.2	0.95	0.423	337.6	876.3007	0
13/03/2022 20:50	42682	0	0.007	0	24.28	24.57	24.06	0.114	38.01	38.57	37.28	0.285	1.973	3.2	0.95	0.425	319.1	876.4294	0
13/03/2022 21:00	42683	0	0.013	0	24.44	24.64	24.23	0.095	37.31	38.03	36.73	0.339	1.551	2.45	0	0.519	7.452	876.5669	0
13/03/2022 21:10	42684	0	0.009	0	24.19	24.4	23.89	0.124	38.02	39.15	37.38	0.521	1.667	2.45	0	0.399	271.6	876.5953	0
13/03/2022 21:20	42685	0	0.081	0	24.46	24.75	23.96	0.135	36.95	38.4	36.36	0.36	1.525	2.45	0	0.533	326.4	877.157	0
13/03/2022 21:30	42686	0	0.025	0	24.52	24.71	24.3	0.108	36.94	37.62	36.33	0.338	1.014	2.45	0	0.674	29.71	876.893	0
13/03/2022 21:40	42687	0	0.01	0	24.06	24.47	23.48	0.324	38.48	39.87	37.04	0.939	1.409	2.45	0	0.557	351.4	876.9752	0
13/03/2022 21:50	42688	0	0.009	0	23.56	23.72	23.42	0.045	39.78	40.21	39.5	0.148	1.387	2.45	0	0.425	333.9	877.0018	0
13/03/2022 22:00	42689	0	0.02	0	23.71	23.89	23.45	0.069	39.4	39.77	39.05	0.193	1.585	2.45	0	0.379	332.6	876.9412	0
13/03/2022 22:10	42690	0	0.023	0	23.86	24.03	23.69	0.069	39.28	39.67	38.98	0.172	1.435	2.45	0	0.385	327.9	877.1465	0
13/03/2022 22:20	42691	0	0.029	0	23.93	24.1	23.76	0.069	39.13	39.56	38.85	0.144	1.514	2.45	0.95	0.406	346.3	877.1876	0
13/03/2022 22:30	42692	0	0.011	0	23.7	23.86	23.49	0.069	39.57	40.42	39.09	0.291	1.229	2.45	0	0.545	346.2	877.1781	0
13/03/2022 22:40	42693	0	0.01	0	23.49	23.62	23.32	0.05	40.11	41.03	39.53	0.327	1.186	1.7	0	0.375	343.1	877.048	0
13/03/2022 22:50	42694	0	0.006	0	23.26	23.55	23.04	0.117	40.85	42.26	40.07	0.465	0.304	1.7	0	0.445	238.6	877.1053	0
13/03/2022 23:00	42695	0	0.129	0	23.43	23.66	23.18	0.104	40.81	42.26	39.87	0.705	1.041	2.45	0	0.813	168.5	877.4416	0
13/03/2022 23:10	42696	0	0.174	0	23.67	23.9	23.45	0.093	40.11	40.65	39.63	0.229	0.46	1.7	0	0.507	30.05	877.3832	0
13/03/2022 23:20	42697	0	0.004	0	22.95	23.9	22.6	0.362	43.17	44.16	39.77	1.047	1.315	2.45	0	0.483	298.8	877.2516	0
13/03/2022 23:30	42698	0	0.018	0	23.16	23.52	22.74	0.206	42.01	43.86	40.89	0.803	0.946	3.2	0	0.762	50.37	877.2043	0
13/03/2022 23:40	42699	0	0.005	0	22.39	23.01	21.65	0.404	45.04	46.86	43.38	0.969	0.901	2.45	0	0.651	191.7	877.2361	0
13/03/2022 23:50	42700	0	0.131	0	22.25	22.8	21.82	0.284	45.1	46.82	43.07	1.094	0.684	2.45	0	0.744	4.887	877.2361	0
14/03/2022 00:00	42701	0	0.096	0	22.14	22.67	21.41	0.349	45.38	47.5	43.58	1.197	1.62	2.45	0.95	0.451	332.5	877.1539	0
14/03/2022 00:10	42702	0	0.018	0	21.82	22.12	21.44	0.136	45.8	46.75	44.81	0.551	0.73	1.7	0	0.658	26.86	877.3505	0
14/03/2022 00:20	42703	0	0	0	21.6	21.78	21.31	0.095	46.77	48.15	46	0.517	0.22	1.7	0	0.451	18.15	877.4659	0
14/03/2022 00:30	42704	0	0.006	0	21.27	21.48	21.13	0.062	47.83	48.36	47.4	0.19	0.58	1.7	0	0.585	12.8	877.3672	0
14/03/2022 00:40	42705	0	0.171	0	21.42	21.65	21.24	0.073	47.61	48.22	46.41	0.466	1.029	1.7	0	0.469	43.7	877.6533	0
14/03/2022 00:50	42706	0	0.256	0	21.74	22.16	21.37	0.233	46.64	47.91	45.36	0.781	1.156	1.7	0	0.369	53.47	877.6369	0
14/03/2022 01:00	42707	0	0.038	0	21.68	22.19	21.37	0.232	46.5	47.33	45.36	0.44	1.219	2.45	0	0.534	354.1	877.6777	0
14/03/2022 01:10	42708	0	0.154	0	21.57	21.95	21.31	0.154	45.73	46.72	44.3	0.656	1.931	2.45	0.95	0.39	348.2	877.6365	0
14/03/2022 01:20	42709	0	0.086	0	21.8	22.09	21.54	0.123	45.03	46.38	43.52	0.793	1.189	2.45	0	0.516	344.1	877.5964	0
14/03/2022 01:30	42710	0	0.02	0	21.66	21.88	21.48	0.091	45.45	46.41	44.47	0.4	0.943	2.45	0	0.62	350.1	877.4973	0
14/03/2022 01:40	42711	0	0.005	0	21.12	21.65	20.52	0.235	47.34	48.83	45.97	0.616	1.895	2.45	0.95	0.346	354.5	877.3674	0
14/03/2022 01:50	42712	0	0.121	0	20.91	21.24	20.56	0.145	47.31	48.46	46.35	0.459	2.47	3.2	1.7	0.266	338.8	877.4562	0
14/03/2022 02:00	42713	0	0.116	0	21.16	21.44	20.86	0.127	46.74	47.54	46.07	0.36	2.403	3.2	1.7	0.315	340.9	877.3588	0
14/03/2022 02:10	42714	0	0.01	0	20.63	21.34	19.98	0.444	48.31	50.13	46.17	1.33	2.454	3.2	1.7	0.286	342.5	877.1141	0
14/03/2022 02:20	42715	0	0.007	0	20.12	20.39	19.98	0.073	49.52	50.13	48.42	0.352	2.355	3.2	1.7	0.39	340.6	877.1788	0
14/03/2022 02:30	42716	0	0.175	0	20.58	20.83	20.28	0.116	47.31	48.56	46.38	0.55	2.584	3.2	0.95	0.399	335.8	877.2769	0
14/03/2022 02:40	42717	0	0.037	0	20.59	20.83	20.42	0.088	46.81	47.2	46.21	0.169	2.465	3.2	1.7	0.37	334.5	877.2605	0
14/03/2022 02:50	42718	0	0.004	0	20.37	20.59	20.11	0.114	47.37	48.49	46.52	0.577	1.783	3.2	0	0.689	68.37	877.1459	0
14/03/2022 03:00	42719	0	0.001	0	20.44	20.59	20.21	0.061	47.01	47.98	46.21	0.341	0.137	1.7	0	0.343	354.5	877.032	0
14/03/2022 03:10	42720	0	0.207	0	20.64	20.83	20.42	0.079	45.61	46.65	44.91	0.419	1.51	2.45	0	0.58	321.1	877.0229	0
14/03/2022 03:20	42721	0	0.351	0	20.81	20.96	20.62	0.055	44.74	45.22	44.47	0.145	2.34	3.2	1.7	0.331	335.1	877.0649	0
14/03/2022 03:30	42722	0	0.034	0	20.47	20.79	20.11	0.148	45.81	47.06	44.95	0.481	2.549	3.2	1.7	0.336	347.9	877.1953	0
14/03/2022 03:40	42723	0	0.001	0	19.88	20.18	19.6	0.13	47.68	48.36	46.82	0.358	2.803	3.95	1.7	0.43	335.9	877.1871	0
14/03/2022 03:50	42724	0	0.007	0	19.77	19.94	19.6	0.054	47.84	48.22	47.47	0.152	2.604	3.2	1.7	0.404	332.9	877.1951	0
14/03/2022 04:00	42725	0	0.001	0	19.61	19.91	19.43	0.112	48.42	48.94	47.57	0.333	1.966	3.2	0.95	0.437	336.3	877.0073	0
14/03/2022 04:10	42726	0	0.001	0	19.52	19.64	19.4	0.043	48.72	49.11	48.36	0.137	1.074	2.45	0	0.66	299	877.1863	0
14/03/2022 04:20	42727	0	0.044	0	19.83	20.15	19.53	0.187	47.45	48.42	46.58	0.602	0.749	1.7	0	0.531	1.984	876.9261	0
14/03/2022 04:30	42728	0	0	0	19.63	20.11	19.29	0.244	49.48	50.47	46.86	0.95	0.127	0.95	0	0.323	183.1	876.9498	0
14/03/2022 04:40	42729	0	0.007	0	19.43	19.57	19.29	0.06	49.13	49.96	48.66	0.34	0.081	0.95	0	0.265	302.4	877.0647	0
14/03/2022 04:50	42730	0	0.08	0	19.24	19.53	18.89	0.17	50.17	51.7	48.97	0.85	0.563	2.45	0	0.684	334.1	877.0151	0
14/03/2022 05:00	42731	0	0.22	0	19.11	19.29	18.89	0.083	50.18	50.81	49.48	0.323	1.524	2.45	0.95	0.401	340.5	877.04	0
14/03/2022 05:10	42732	0	0.165	0	18.92	19.12	18.68	0.095	50.45	51.39	49.72	0.404	1.951	2.45	0.95	0.362	324.8	877.1863	0
14/03/2022 05:20	42733	0	0.044	0	18.78	19.02	18.58	0.08	50.87	51.39	50.23	0.245	1.969	2.45	1.7	0.36	326.7	876.9172	0
14/03/2022 05:30	42734	0	0.013	0	18.81	19.06	18.54	0.13	50.85	51.73	49.96	0.499	1.791	2.45	0.95	0.284	322.9	877.1884	0
14/03/2022 05:40	42735	0	0.01	0	18.61	18.75	18.44	0.051	51.57	51.97	51.12	0.172	1.533	2.45	0.95	0.341	315	877.3987	0
14/03/2022 05:50	42736	0	0.012	0	18.67	18.85	18.27	0.099	51.57	53.19	51.01	0.412	1.486	2.45	0.95	0.344	0.29	877.3184	0
14/03/2022 06:00	42737	0	0	0	17.94	18.37	17.73	0.131	54.17	54.76	53.09	0.341	1.234	1.7	0	0.53	330.8	877.4984	0
14/03/2022 06:10	42738	0	0.01	0	18.14	18.41	17.93	0.121	53.45	54.08	52.68	0.381	0.583	1.7	0	0.568	344	877.5066	0
14/03/2022 06:20	42739	0	0.052	0	17.99	18.34	17.73	0.16	54.03	54.52	52.99	0.347	1.596	2.45	0.95	0.332	321.9	877.6778	0
14/03/2022 06:30	42740	0	0.254	0	18.27	18.44	17.97	0.077	53.11	53.67	52.65	0.219	1.436	1.7	0.95	0.358	339.5	877.9807	0
14/03/2022 06:40	42741	0	0.009	0	17.78	18.2	17.59	0.132	54.83	55.48	53.47	0.402	1.488	2.45	0.95	0.346	331.8	877.9805	0
14/03/2022 06:50	42742	1.387	0.158	1.009	17.66	17.9	17.42	0.087	55.26	55.96	54.46	0.345	2.13	3.2	0.95	0.407	337.5	877.8902	0
14/03/2022 07:00	42743	8.58	4.619	7.934	18.41	18.82	17.76	0.281	52.59	54.66	51.32	0.899	2.099	2.45	1.7	0.374	323	878.2379	0
14/03/2022 07:10	42744	24.55	83.1	18.84	18.99	19.23	18.68	0.114	50.69	51.46	50.13	0.336	1.914	2.45	0.95	0.341	335.9	878.4315	0
14/03/2022 07:20	42745	53.69	189.1	29.4	19	19.26	18.75	0.094	51.14	52.45	50.13	0.491	1.803	2.45	0.95	0.325	293.3	878.5453	0
14/03/2022 07:30	42746	85.3	258.1	39.21	19.06	19.33	18.72	0.145	51.22	52.45	50.54	0.46	1.956	2.45	0.95	0.366	342.8	878.5367	0
14/03/2022 07:40	42747	121.3	356	48.41	19.51	19.91	19.12	0.19	50.19	51.39	49.65	0.409	1.726	2.45	0.95	0.274	333.1	878.8239	0
14/03/2022 07:50	42748	159.3	422.8	56.52	19.91	20.25	19.67	0.131	50.41	51.08	49.75	0.358	1.522	2.45	0	0.454	21.29	878.8475	0
14/03/2022 08:00	42749	198.9	480.9	63.9	20.6	21.2	20.11	0.276	49.72	50.4	48.73	0.416	1.384	3.2	0	0.621	4.549	879.1837	0
14/03/2022 08:10	42750	238.9	527.5	71.1	21.72	22.23	21.07	0.342	47.43	48.94	46.11	0.793	0.554	2.45	0	0.63	22.79	879.4041	0
14/03/2022 08:20	42751	279	566.3	78.29	22.39	22.8	22.02	0.206	46.16	46.96	44.88	0.451	0.73	2.45	0	0.756	48.49	879.731	0
14/03/2022 08:30	42752	319.6	599	85.9	22.79	23.04	22.5	0.11	45.65	46.58	44.81	0.389	1.013	2.45	0	0.66	73.72	879.8455	0
14/03/2022 08:40	42753	363.3	637.9	93.7	23.45	24.24	22.7	0.491	44.47	46.62	41.95	1.152	0.537	2.45	0	0.619	78.92	879.8533	0
14/03/2022 08:50	42754	403.9	664.8	102.5	24.01	24.24	23.62	0.15	42.51	43.41	41.47	0.471	0.683	1.7	0	0.615	172	879.8762	0
14/03/2022 09:00	42755	447.3	692.7	112.7	24.33	24.64	24.1	0.113	41.94	42.56	40.96	0.335	0.946	3.2	0	0.754	38.95	880.0543	0
14/03/2022 09:10	42756	481.6	699.2	124.3	24.53	24.81	24.2	0.122	41.86	42.59	40.93	0.361	1.255	2.45	0	0.799	122.2	880.0624	0
14/03/2022 09:20	42757	523.6	724.1	134.9	24.77	25.15	24.37	0.209	41.43	42.46	40.24	0.623	1.245	3.2	0	0.731	155.1	880.2029	0
14/03/2022 09:30	42758	556	731.6	143.9	25.09	25.53	24.71	0.208	40.12	41.61	39.05	0.622	1.182	3.95	0	0.847	64.26	880.342	0
14/03/2022 09:40	42759	598.2	753.3	153.9	25.11	25.49	24.78	0.18	40.4	41.2	39.25	0.498	1.883	3.95	0	0.923	124.2	880.3389	0
14/03/2022 09:50	42760	623.2	745.9	162.1	24.83	25.22	24.4	0.215	40.82	42.35	39.66	0.564	2.143	3.95	0	0.64	97.2	880.381	0
14/03/2022 10:00	42761	640.6	730.9	168.9	25.29	25.52	24.98	0.13	40.03	40.79	39.29	0.332	0.997	3.95	0	0.765	153.3	880.4041	0
14/03/2022 10:10	42762	679.1	749.6	176.3	25.79	26.13	25.42	0.133	39.01	40.17	37.95	0.435	1.087	3.2	0	0.89	153.3	880.2027	0
14/03/2022 10:20	42763	714.6	769.4	176.6	26.24	26.51	26	0.1	38.65	39.69	37.78	0.435	1.692	4.7	0	1.039	169.8	880.1738	0
14/03/2022 10:30	42764	747.2	784.7	174.2	26.16	26.57	25.59	0.272	38.75	40.31	37.31	0.695	1.448	3.2	0	0.918	77.16	880.0947	0
14/03/2022 10:40	42765	780.1	801	169.7	26.33	26.74	25.79	0.248	38.06	39.45	36.9	0.629	1.468	3.2	0	0.741	266.1	879.8684	0
14/03/2022 10:50	42766	809	814	165	26.69	27.01	26.26	0.188	37.25	38.12	35.94	0.487	1.602	3.95	0	0.895	80.3	879.6786	0
14/03/2022 11:00	42767	834	822	158.5	26.51	27.22	25.85	0.353	37.24	38.57	35.98	0.671	0.837	3.2	0	0.885	211.8	879.4034	0
14/03/2022 11:10	42768	860	830	153.1	27.03	27.49	26.71	0.188	36.22	37	35.3	0.379	1.665	4.7	0	1.07	56.55	879.5862	0
14/03/2022 11:20	42769	886	842	146.1	26.71	27.52	25.78	0.601	36.78	39.04	34.85	1.264	1.614	3.95	0	0.882	133.2	879.4412	0
14/03/2022 11:30	42770	910	859	138.6	26.93	27.97	25.85	0.643	35.66	38.53	32.57	1.825	1.393	3.2	0	0.917	37.71	879.4684	0
14/03/2022 11:40	42771	925	862	134.8	27.91	28.41	27.45	0.203	32.81	33.39	31.85	0.311	1.322	3.2	0	0.638	206.2	879.1822	0
14/03/2022 11:50	42772	932	854	133.9	27.58	28.13	27.28	0.198	33.4	34.51	31.89	0.614	1.571	3.95	0	0.846	105.9	878.8436	0
14/03/2022 12:00	42773	937	848	133.8	27.35	27.69	26.91	0.215	34.11	35.05	33.11	0.53	1.059	3.95	0	0.998	139.4	878.5281	0
14/03/2022 12:10	42774	947	847	135.2	28.37	28.88	27.55	0.326	32.69	33.56	31.68	0.456	2.213	4.7	0	1.063	104.5	878.3568	0
14/03/2022 12:20	42775	949	839	137.2	27.9	28.34	27.49	0.222	33.55	34.58	32.57	0.426	1.65	3.95	0	0.959	19.4	878.1689	0
14/03/2022 12:30	42776	958	842	138.7	28.17	28.71	27.83	0.211	32.99	33.73	32.02	0.389	2.11	3.95	0	0.792	89.4	877.7927	0
14/03/2022 12:40	42777	964	843	139.5	28.19	28.78	27.69	0.354	32.97	34.03	31.89	0.607	2.161	4.7	0	1.213	77.35	877.9221	0
14/03/2022 12:50	42778	965	844	139.4	28.21	28.78	27.83	0.212	32.87	33.73	32.09	0.419	2.233	3.95	0	0.791	66.2	877.4283	0
14/03/2022 13:00	42779	965	849	136.9	29.29	29.97	28.71	0.332	31.36	32.29	29.84	0.518	2.466	5.45	0	1.027	233.2	877.3871	0
14/03/2022 13:10	42780	965	853	134.6	28.54	29.12	28.2	0.196	31.81	32.64	30.97	0.322	2.266	6.2	0	1.266	226.8	877.0886	0
14/03/2022 13:20	42781	963	861	131.2	29.95	30.58	28.95	0.441	29.86	31.48	28.58	0.798	2.354	5.45	0	1.103	121.9	876.9854	0
14/03/2022 13:30	42782	957	863	128.1	30	30.31	29.63	0.193	29.17	29.91	28.55	0.3	1.802	3.95	0	0.844	152.1	876.6744	0
